field_id,index,mnemonic,description,EQSdisp,EQSscreen,BQL,env,soc,gov,esgo,fr_bbggei,fr_eet,fr_eutax,fr_sdgs,fr_sfdr,fr_tcfd,source,issue1,issue2,theme1,theme2,is_esg,esgd,field_pop_rank,freq,bqlc_y2021,bqlc_y2020,bqlc_y2019,bqlc_y2018,bqlc_freq
SA107,53427,TRANS_GENE_MOD_ORG_LABEL_POL,Transparent GMO Labeling Policy,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,1418.0,Yearly,988.0,822.0,813.0,798.0,Yearly
SA108,53428,NUMBER_FINES_BRIBERY_AND_CORRUPT,Number of Fines For Bribery And Corruption,False,True,True,False,True,False,False,False,True,False,False,True,False,BLP,Ethics&Compliance,,BusinessPractices,,True,True,529.0,Yearly,1408.0,1102.0,919.0,690.0,Yearly
SA109,53429,NUMBER_FINES_DATA_BREACHES,Number of Fines For Data Breaches,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,DataProtection,,Community&Customers,,True,True,914.0,Yearly,790.0,596.0,443.0,327.0,Yearly
SA110,53430,NUMBER_FINES_PRODUCT_SAFETY,Number of Fines For Product Safety,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,1372.0,Yearly,284.0,264.0,200.0,168.0,Yearly
SA112,53432,RBA_MEMBERSHIP,RBA Membership,True,False,True,True,True,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,SocialSupplyChainManagement,SupplyChain,ValueChain,True,True,1352.0,Yearly,644.0,509.0,493.0,486.0,Yearly
SA113,53433,NUMBER_PRODUCTS_ECO_LABELS,Number of Products with Eco - Labels,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1449.0,Yearly,19.0,19.0,18.0,10.0,Yearly
SA114,53434,PCT_PRODUCTS_ECO_LABELS,Percentage of Products with Eco - Labels,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,976.0,Yearly,9.0,8.0,4.0,2.0,Yearly
SA115,53435,REMANUFACT_AND_TAKE_BACK_PROG,Remanufacturing and Take Back Programs,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1712.0,Yearly,2131.0,1728.0,1657.0,1609.0,Yearly
SA116,53436,PCT_REV_PRODUCTS_ECO_LABELS,Percentage Revenue Products Eco Labels,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1092.0,Yearly,12.0,15.0,8.0,4.0,Yearly
SA117,53437,PRODUCT_LIFECYCLE_DESIGN,Product Lifecycle Design,True,False,True,True,False,False,False,False,False,False,False,False,True,BLP,SustainableProduct,,ValueChain,,True,True,962.0,Yearly,5559.0,4921.0,4732.0,2559.0,Yearly
SA118,53438,HAP_EMISSIONS,Hazardous Air Pollutants Emissions,False,True,True,True,False,False,False,False,True,False,False,True,False,BLP,AirQuality,,NaturalCapital,,True,True,854.0,Yearly,44.0,47.0,41.0,30.0,Yearly
SA119,53439,COMMUNITY_ENGAGEMENT_POLICY,Community Engagement Policy,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,CommunityRights&Relations,,Community&Customers,,True,True,628.0,Yearly,3160.0,2242.0,2166.0,1951.0,Yearly
SA120,53440,HAZARDOUS_WASTE_MGMT_POL,Hazardous Waste Management Policy,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,WasteManagement,,NaturalCapital,,True,True,858.0,Yearly,4806.0,3770.0,3649.0,3104.0,Yearly
SA121,53441,PROC_SAFETY_INCIDENTS_COUNT_PSIC,Process Safety Incidents Count (PSIC),True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,OperationalRiskManagement,,HumanCapital,,True,True,1424.0,Yearly,76.0,103.0,92.0,84.0,Yearly
SA122,53442,PROC_SFTY_INCID_SEV_RT_PSISR,Process Safety Incident Severity Rate (PSISR),True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,OperationalRiskManagement,,HumanCapital,,True,True,1146.0,Yearly,20.0,27.0,19.0,10.0,Yearly
SA124,53443,TOTAL_WOOD_PROCURED,Total Wood Procured,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,1457.0,Yearly,27.0,33.0,29.0,28.0,Yearly
SA125,53444,WOOD_CERTIFIED_SOURCES,Wood from Certified Sources,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,1463.0,Yearly,15.0,22.0,20.0,19.0,Yearly
SA126,53445,PCT_WOOD_CERTIFIED_SOURCES,Percentage of Wood from Certified Sources,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,1451.0,Yearly,36.0,37.0,34.0,27.0,Yearly
SA127,53446,TOTAL_ALUMINUM_PROCURED,Total Aluminum Procured,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,1459.0,Yearly,12.0,14.0,10.0,7.0,Yearly
SA128,53447,GHG_EMISSIONS_POWER_DELIVERY,GHG Emissions from Power Delivery,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,1545.0,Yearly,12.0,28.0,25.0,21.0,Yearly
